"question","EW1","EW2","NS1","NS2","orientation1","orientation2","area1","area2","presentationposition1","presentationposition2","templatetype1","templatetype2","responsekey","responsemeans","drawtime","responsetime","inspectiontime","ppntid","stimid"
"Do these two triangles match?",94.48700322647096,105.68599937534219,102.8253740910054,109.5155216737741,0,1,4857.830726749957,5787.128677602381,0,1,"rightangle","skew","l","notmatch",1535385943047,1535385946156,3109,"4574294","pairrightanglevsskew_6"
"Do these two triangles match?",99.64703031813438,115.93609399989174,97.40416339280193,110.43297451576532,3,0,4853.017811357525,6401.583857073708,0,1,"equilateral","equilateral","a","match",1535385947159,1535385948178,1019,"4574294","pairequilateralvsequilateral_7"
"Do these two triangles match?",106.95826286577264,82.74355734250992,102.213395269495,113.54003469894268,1,1,5466.283599818882,4697.353185891263,1,0,"equilateral","rightangle","l","notmatch",1535385949179,1535385951396,2217,"4574294","pairequilateralvsrightangle_8"
"Do these two triangles match?",117.98252003640886,103.9317696397932,96.60833249932121,91.70320333769416,2,2,5699.047262392604,4765.438102262171,0,1,"equilateral","skew","l","notmatch",1535385952398,1535385953921,1523,"4574294","pairequilateralvsskew_9"
"Do these two triangles match?",117.15251649738232,93.635296013151,95.39849327068424,102.29385538060625,2,2,5588.086778359628,4789.157714444763,1,0,"skew","skew","a","match",1535385954922,1535385956757,1835,"4574294","pairskewvsskew_7"
"Do these two triangles match?",94.01252839537165,119.79047805134945,91.6607880735357,105.045456939674,3,0,4308.631220752707,6291.722751962995,0,1,"rightangle","equilateral","l","notmatch",1535385957759,1535385960882,3123,"4574294","pairrightanglevsequilateral_0"
"Do these two triangles match?",84.00266040480733,108.4228236343525,107.6023599172643,90.25123711113346,0,2,4519.442249442903,4892.646982041275,0,1,"skew","rightangle","l","notmatch",1535385961883,1535385963675,1792,"4574294","pairskewvsrightangle_9"
"Do these two triangles match?",119.14458994371775,91.9138997890004,111.87362598974948,87.79234590925304,1,2,6664.568647032772,4034.668442072168,1,0,"skew","skew","a","match",1535385964677,1535385968717,4040,"4574294","pairskewvsskew_1"
"Do these two triangles match?",107.07689304346184,98.45010256653919,106.8368271132204,88.03604221899182,1,3,5719.877754952563,4333.57869300596,1,0,"rightangle","rightangle","a","match",1535385969718,1535385971079,1361,"4574294","pairrightanglevsrightangle_7"
"Do these two triangles match?",92.75178202162262,112.53746319510971,107.24840775491464,87.03506985253614,1,2,4973.740469124974,4897.352985106796,0,1,"equilateral","skew","l","notmatch",1535385972080,1535385974247,2167,"4574294","pairequilateralvsskew_4"
"Do these two triangles match?",92.47730270490135,119.18897247494094,100.14481430219939,100.30066983826474,2,2,4630.561153275314,5977.366888285537,1,0,"equilateral","rightangle","l","notmatch",1535385975248,1535385976903,1655,"4574294","pairequilateralvsrightangle_2"
"Do these two triangles match?",114.98092736735165,85.1407415115162,85.7687937096411,105.24000683174164,1,3,4930.887719956806,4480.106109165757,1,0,"skew","rightangle","l","notmatch",1535385977904,1535385980390,2486,"4574294","pairskewvsrightangle_0"
"Do these two triangles match?",107.23726224215137,103.93024079868873,117.26432064447636,94.66203899913903,3,2,6287.552352299719,4919.124253837691,1,0,"rightangle","equilateral","l","notmatch",1535385981391,1535385982901,1510,"4574294","pairrightanglevsequilateral_7"
"Do these two triangles match?",103.82083742050472,102.99026333122376,98.6315098289073,90.50729234393073,1,3,5120.002973242947,4660.68493594874,1,0,"rightangle","rightangle","a","match",1535385983903,1535385985284,1381,"4574294","pairrightanglevsrightangle_0"
"Do these two triangles match?",85.58938476324717,87.32020017453745,89.01406650941568,102.28418025822168,0,1,3809.3295939078266,4465.737547418193,0,1,"rightangle","skew","l","notmatch",1535385986285,1535385988501,2216,"4574294","pairrightanglevsskew_7"
"Do these two triangles match?",113.903760634167,86.16356305201752,95.79768314912702,108.28008733231749,2,3,5455.858185362969,4664.899066068052,1,0,"skew","equilateral","l","notmatch",1535385989503,1535385992405,2902,"4574294","pairskewvsequilateral_1"
"Do these two triangles match?",90.35669195807492,109.30135366257143,91.88717251684389,113.22248528319511,1,3,4151.310471001478,6187.6854532469015,0,1,"rightangle","skew","l","notmatch",1535385993406,1535385995369,1963,"4574294","pairrightanglevsskew_1"
"Do these two triangles match?",82.10122140374234,113.9582436153992,112.68822847137207,100.63411110283882,2,3,4625.920597661808,5734.043274538227,0,1,"skew","equilateral","l","notmatch",1535385996370,1535385998169,1799,"4574294","pairskewvsequilateral_8"
"Do these two triangles match?",96.44546863565817,112.0460161070721,118.79710286853582,94.9116035692876,3,1,5728.721129357215,5317.233531136222,1,0,"skew","equilateral","l","notmatch",1535385999171,1535386000887,1716,"4574294","pairskewvsequilateral_0"
"Do these two triangles match?",90.21343399532792,106.56774480357151,86.37801277885558,86.374882390611,1,0,3896.2285772364385,4602.38821202057,0,1,"rightangle","equilateral","l","notmatch",1535386001889,1535386002943,1054,"4574294","pairrightanglevsequilateral_4"
"Do these two triangles match?",113.49306969482906,89.17676009958463,108.0884654283762,83.82562509695623,1,0,6133.645870034908,3737.648829734492,0,1,"equilateral","skew","a","match",1535386003945,1535386006143,2198,"4574294","pairequilateralvsskew_2"
"Do these two triangles match?",87.74192496001719,116.25705993515332,113.79890592205106,85.78759457381216,1,2,4992.467531972331,4986.706762030156,1,0,"equilateral","rightangle","l","notmatch",1535386007145,1535386008706,1561,"4574294","pairequilateralvsrightangle_7"
"Do these two triangles match?",104.49794268995647,83.28121947552778,87.96719604804044,105.2755407452565,2,1,4596.195505612149,4383.737707105285,0,1,"equilateral","equilateral","l","notmatch",1535386009708,1535386011601,1893,"4574294","pairequilateralvsequilateral_1"
"Do these two triangles match?",119.7580819123317,89.34313631374688,81.13810484396099,92.33842805750625,2,2,4858.4719030572205,4124.902382469443,0,1,"rightangle","rightangle","a","match",1535386012603,1535386014067,1464,"4574294","pairrightanglevsrightangle_4"
"Do these two triangles match?",111.17593002602,109.98572204317276,108.65168504141171,107.58989220912906,1,2,6039.726066686579,5916.675989584093,0,1,"rightangle","skew","l","notmatch",1535386015068,1535386018674,3606,"4574294","pairrightanglevsskew_0"
"Do these two triangles match?",110.33807549389985,115.80992699531704,106.21130465272115,116.6342714073304,0,2,5859.57547553877,6753.703228417464,1,0,"skew","equilateral","l","notmatch",1535386019675,1535386020923,1248,"4574294","pairskewvsequilateral_9"
"Do these two triangles match?",107.8978360202323,96.23328826825424,93.08980041533512,119.89641011418742,2,1,5022.094010184994,5769.012898423717,0,1,"rightangle","equilateral","l","notmatch",1535386021924,1535386023035,1111,"4574294","pairrightanglevsequilateral_8"
"Do these two triangles match?",117.42950061946624,115.07231861078404,93.26877076620067,100.14834343972132,2,1,5476.252587233208,5762.151042318915,0,1,"equilateral","skew","l","notmatch",1535386024036,1535386025403,1367,"4574294","pairequilateralvsskew_7"
"Do these two triangles match?",91.71635288061938,83.15647153625693,91.35608570520074,85.15833684487181,3,0,4189.423497165152,3540.7334069577823,0,1,"rightangle","skew","l","notmatch",1535386026404,1535386028311,1907,"4574294","pairrightanglevsskew_4"
"Do these two triangles match?",86.09259767443793,93.93892881907308,90.99541920260866,102.3419884773062,0,2,3917.0160078135036,4806.948385386031,1,0,"skew","equilateral","l","notmatch",1535386029312,1535386030772,1460,"4574294","pairskewvsequilateral_6"
"Do these two triangles match?",85.63449740796875,83.72929948418356,98.83279447464719,94.5125354101023,0,2,4231.748341130744,3956.7341911809785,1,0,"equilateral","rightangle","l","notmatch",1535386031773,1535386032866,1093,"4574294","pairequilateralvsrightangle_3"
"Do these two triangles match?",111.85777913073017,104.43734780661727,100.92377650691968,107.45239351404987,3,3,5644.554750775097,5611.0214970401685,1,0,"equilateral","skew","l","notmatch",1535386033867,1535386035394,1527,"4574294","pairequilateralvsskew_1"
