"question","EW1","EW2","NS1","NS2","orientation1","orientation2","area1","area2","presentationposition1","presentationposition2","templatetype1","templatetype2","responsekey","drawtime","responsetime","inspectiontime","ppntid","stimid","areachosen","arearejected","templatechosen","templaterejected","NSchosen","EWchosen","NSrejected","EWrejected"
"Which triangle is taller?",93.1132790181425,112.72469551104966,98.39873974151698,94.47266933043907,2,3,4581.11465429273,5324.701442194914,0,1,"rightangle","rightangle","l",1535385100819,1535385103399,2580,"4574294","pairrightanglevsrightangle_0",5324.701442194914,4581.11465429273,"rightangle","rightangle",94.47266933043907,112.72469551104966,98.39873974151698,93.1132790181425
"Which triangle is taller?",116.63423580614636,89.09384714902177,81.34545873828223,101.97986768216903,0,2,4743.832708119979,4542.889371776317,1,0,"rightangle","equilateral","a",1535385104401,1535385105569,1168,"4574294","pairrightanglevsequilateral_1",4542.889371776317,4743.832708119979,"equilateral","rightangle",101.97986768216903,89.09384714902177,81.34545873828223,116.63423580614636
"Which triangle is taller?",85.44090563223436,97.92589726647208,111.60492804569715,88.43654110563327,1,2,4767.813062622359,4330.113819456189,0,1,"equilateral","equilateral","a",1535385106570,1535385108687,2117,"4574294","pairequilateralvsequilateral_8",4767.813062622359,4330.113819456189,"equilateral","equilateral",111.60492804569715,85.44090563223436,88.43654110563327,97.92589726647208
"Which triangle is taller?",91.46924169597807,81.24380069881242,105.92766835138343,96.99139978334384,3,3,4844.561749362051,3939.9749767484095,1,0,"equilateral","skew","l",1535385109688,1535385110447,759,"4574294","pairequilateralvsskew_6",4844.561749362051,3939.9749767484095,"equilateral","skew",105.92766835138343,91.46924169597807,96.99139978334384,81.24380069881242
"Which triangle is taller?",114.90225954128732,116.13012679237222,94.03733296608516,119.72684642922016,2,1,5402.551019519785,6951.9469281381025,1,0,"skew","skew","a",1535385111448,1535385112190,742,"4574294","pairskewvsskew_6",6951.9469281381025,5402.551019519785,"skew","skew",119.72684642922016,116.13012679237222,94.03733296608516,114.90225954128732
"Which triangle is taller?",103.2566083012994,111.7396523008142,85.86496328737407,96.20369594122458,0,3,4433.062440484916,5374.883767262842,0,1,"skew","rightangle","l",1535385113191,1535385114198,1007,"4574294","pairskewvsrightangle_4",5374.883767262842,4433.062440484916,"rightangle","skew",96.20369594122458,111.7396523008142,85.86496328737407,103.2566083012994
"Which triangle is taller?",119.7811254400313,94.90068256347521,88.4551757090961,119.67641735098402,1,1,5297.630248715626,5678.686846679856,0,1,"skew","rightangle","l",1535385115199,1535385115852,653,"4574294","pairskewvsrightangle_3",5678.686846679856,5297.630248715626,"rightangle","skew",119.67641735098402,94.90068256347521,88.4551757090961,119.7811254400313
"Which triangle is taller?",97.88891873512789,106.39598798783965,116.86848906618259,80.77337447014223,1,1,5720.065014448364,4296.981489931262,1,0,"rightangle","equilateral","l",1535385116853,1535385117469,616,"4574294","pairrightanglevsequilateral_9",5720.065014448364,4296.981489931262,"rightangle","equilateral",116.86848906618259,97.88891873512789,80.77337447014223,106.39598798783965
"Which triangle is taller?",102.82927177325215,114.00883874986482,98.36692020949661,98.95739526976902,1,2,5057.49938586007,5641.0088602088645,1,0,"equilateral","skew","l",1535385118471,1535385123170,4699,"4574294","pairequilateralvsskew_2",5057.49938586007,5641.0088602088645,"equilateral","skew",98.36692020949661,102.82927177325215,98.95739526976902,114.00883874986482
"Which triangle is taller?",106.70967410684939,91.41208328910805,117.04666374877017,80.7175844241366,1,2,6245.005671962625,3689.2812751373954,1,0,"rightangle","rightangle","l",1535385124170,1535385124981,811,"4574294","pairrightanglevsrightangle_5",6245.005671962625,3689.2812751373954,"rightangle","rightangle",117.04666374877017,106.70967410684939,80.7175844241366,91.41208328910805
"Which triangle is taller?",103.85243880507922,110.63013158584813,100.28097663122185,93.30789256786566,3,0,5207.211994453772,5161.332216390581,1,0,"rightangle","skew","l",1535385125983,1535385126768,785,"4574294","pairrightanglevsskew_7",5207.211994453772,5161.332216390581,"rightangle","skew",100.28097663122185,103.85243880507922,93.30789256786566,110.63013158584813
"Which triangle is taller?",83.59732564251078,107.9275220460231,87.24545372909624,103.44475959302395,2,2,3646.7433031099326,5582.268285760827,1,0,"rightangle","equilateral","a",1535385127769,1535385128484,715,"4574294","pairrightanglevsequilateral_5",5582.268285760827,3646.7433031099326,"equilateral","rightangle",103.44475959302395,107.9275220460231,87.24545372909624,83.59732564251078
"Which triangle is taller?",109.35661001109047,97.9162958051721,109.3089501874884,85.01033170178547,2,0,5976.828118187441,4161.948392703913,1,0,"equilateral","rightangle","l",1535385129485,1535385130282,797,"4574294","pairequilateralvsrightangle_8",5976.828118187441,4161.948392703913,"equilateral","rightangle",109.3089501874884,109.35661001109047,85.01033170178547,97.9162958051721
"Which triangle is taller?",114.14318231102925,91.62238390151963,84.73773734530872,80.60142740659839,3,2,4836.117501214842,3692.4474624289123,0,1,"rightangle","equilateral","a",1535385131283,1535385131841,558,"4574294","pairrightanglevsequilateral_3",4836.117501214842,3692.4474624289123,"rightangle","equilateral",84.73773734530872,114.14318231102925,80.60142740659839,91.62238390151963
"Which triangle is taller?",100.31775260432154,84.65594745406504,106.51373077483922,103.75573169837989,0,0,5342.609046416815,4391.769885358059,0,1,"rightangle","rightangle","a",1535385132841,1535385135128,2287,"4574294","pairrightanglevsrightangle_3",5342.609046416815,4391.769885358059,"rightangle","rightangle",106.51373077483922,100.31775260432154,103.75573169837989,84.65594745406504
"Which triangle is taller?",109.83019502148082,101.46992514777608,105.20192160071045,89.36334924935755,0,0,5777.173783020285,4533.846179643442,0,1,"rightangle","equilateral","a",1535385136128,1535385136958,830,"4574294","pairrightanglevsequilateral_7",5777.173783020285,4533.846179643442,"rightangle","equilateral",105.20192160071045,109.83019502148082,89.36334924935755,101.46992514777608
"Which triangle is taller?",116.25907101683066,81.56962932700152,113.39782941997076,83.99960005569727,2,2,6591.7631518454145,3425.9081200798005,0,1,"equilateral","equilateral","a",1535385137960,1535385138628,668,"4574294","pairequilateralvsequilateral_2",6591.7631518454145,3425.9081200798005,"equilateral","equilateral",113.39782941997076,116.25907101683066,83.99960005569727,81.56962932700152
"Which triangle is taller?",102.19623639844365,96.32438963190043,91.00472773253223,105.04461406424184,3,0,4650.1703343649315,5059.1791669283175,1,0,"skew","equilateral","a",1535385139629,1535385142293,2664,"4574294","pairskewvsequilateral_6",5059.1791669283175,4650.1703343649315,"equilateral","skew",105.04461406424184,96.32438963190043,91.00472773253223,102.19623639844365
"Which triangle is taller?",87.42581483480869,84.7537033136049,93.98641164629106,94.86138736322475,3,2,4108.419310788376,4019.926940249848,0,1,"equilateral","rightangle","l",1535385143295,1535385144415,1120,"4574294","pairequilateralvsrightangle_4",4019.926940249848,4108.419310788376,"rightangle","equilateral",94.86138736322475,84.7537033136049,93.98641164629106,87.42581483480869
"Which triangle is taller?",87.35883631727215,117.08444622543526,83.40518069492882,114.13854539299473,1,0,3643.089764170398,6681.924190157749,0,1,"equilateral","skew","l",1535385145416,1535385145954,538,"4574294","pairequilateralvsskew_0",6681.924190157749,3643.089764170398,"skew","equilateral",114.13854539299473,117.08444622543526,83.40518069492882,87.35883631727215
"Which triangle is taller?",114.05385715741063,97.30832949252225,105.98117979512469,91.57665451156933,3,2,6043.7811708635045,4455.585635517333,0,1,"skew","skew","a",1535385146956,1535385147655,699,"4574294","pairskewvsskew_4",6043.7811708635045,4455.585635517333,"skew","skew",105.98117979512469,114.05385715741063,91.57665451156933,97.30832949252225
"Which triangle is taller?",85.71510382886767,83.13077115003672,113.01135473327284,100.6545237270453,1,1,4843.390002401742,4183.744088584468,1,0,"rightangle","rightangle","l",1535385148656,1535385149182,526,"4574294","pairrightanglevsrightangle_6",4843.390002401742,4183.744088584468,"rightangle","rightangle",113.01135473327284,85.71510382886767,100.6545237270453,83.13077115003672
"Which triangle is taller?",99.49722941853703,101.03197023666752,84.90562420922902,92.68820349337753,2,2,4223.9371854348765,4682.23590831655,0,1,"skew","equilateral","l",1535385150183,1535385151200,1017,"4574294","pairskewvsequilateral_5",4682.23590831655,4223.9371854348765,"equilateral","skew",92.68820349337753,101.03197023666752,84.90562420922902,99.49722941853703
"Which triangle is taller?",97.05791288159713,100.1019608032454,93.52035295707711,107.34040150956159,0,3,4538.445134982104,5372.492332257378,0,1,"skew","rightangle","l",1535385152201,1535385153054,853,"4574294","pairskewvsrightangle_0",5372.492332257378,4538.445134982104,"rightangle","skew",107.34040150956159,100.1019608032454,93.52035295707711,97.05791288159713
"Which triangle is taller?",86.40286144497821,81.15089639763788,108.81804741132726,84.45338279678712,0,0,4701.095336596992,3426.7338588860616,0,1,"rightangle","rightangle","a",1535385154056,1535385154965,909,"4574294","pairrightanglevsrightangle_4",4701.095336596992,3426.7338588860616,"rightangle","rightangle",108.81804741132726,86.40286144497821,84.45338279678712,81.15089639763788
"Which triangle is taller?",99.69076894530312,111.99495087012306,85.74373313102754,103.61064540487513,1,2,4273.929344036499,5801.934570870366,1,0,"skew","rightangle","a",1535385155965,1535385156949,984,"4574294","pairskewvsrightangle_5",5801.934570870366,4273.929344036499,"rightangle","skew",103.61064540487513,111.99495087012306,85.74373313102754,99.69076894530312
"Which triangle is taller?",114.71196065135541,104.41066423731257,107.4218302024849,85.70635494078812,1,2,6161.284379642016,4474.328724363279,0,1,"equilateral","equilateral","a",1535385157950,1535385158746,796,"4574294","pairequilateralvsequilateral_0",6161.284379642016,4474.328724363279,"equilateral","equilateral",107.4218302024849,114.71196065135541,85.70635494078812,104.41066423731257
"Which triangle is taller?",96.45792842363537,99.37433771477292,118.53819485504347,92.52242105626325,0,3,5716.974357397364,4597.177158116761,0,1,"rightangle","equilateral","a",1535385159746,1535385160537,791,"4574294","pairrightanglevsequilateral_4",5716.974357397364,4597.177158116761,"rightangle","equilateral",118.53819485504347,96.45792842363537,92.52242105626325,99.37433771477292
"Which triangle is taller?",107.78020690543033,82.8714556303821,90.12685056853326,110.58506622398258,3,2,4856.945301005657,4582.172704481818,1,0,"skew","equilateral","a",1535385161539,1535385163100,1561,"4574294","pairskewvsequilateral_4",4582.172704481818,4856.945301005657,"equilateral","skew",110.58506622398258,82.8714556303821,90.12685056853326,107.78020690543033
"Which triangle is taller?",82.48500954262555,96.00191964783127,117.57733334491505,81.74175119096563,0,1,4849.183731475895,3923.68251485405,0,1,"rightangle","rightangle","a",1535385164100,1535385164984,884,"4574294","pairrightanglevsrightangle_2",4849.183731475895,3923.68251485405,"rightangle","rightangle",117.57733334491505,82.48500954262555,81.74175119096563,96.00191964783127
"Which triangle is taller?",118.60547579639385,109.64265718127409,99.48406933357181,86.07444584741401,1,0,5899.677688734863,4718.715479058079,0,1,"rightangle","rightangle","a",1535385165985,1535385166864,879,"4574294","pairrightanglevsrightangle_9",5899.677688734863,4718.715479058079,"rightangle","rightangle",99.48406933357181,118.60547579639385,86.07444584741401,109.64265718127409
"Which triangle is taller?",100.52155773539954,90.80594188454229,119.22665236510225,87.24386237451344,1,0,5992.424409658521,3961.130548281538,0,1,"skew","rightangle","a",1535385167865,1535385168551,686,"4574294","pairskewvsrightangle_9",5992.424409658521,3961.130548281538,"skew","rightangle",119.22665236510225,100.52155773539954,87.24386237451344,90.80594188454229
"Which triangle is taller?",100.23412897862723,97.4188477674969,86.40684521912159,88.12844781637511,0,1,4330.457434164856,4292.685920904619,1,0,"equilateral","skew","a",1535385169552,1535385171574,2022,"4574294","pairequilateralvsskew_4",4292.685920904619,4330.457434164856,"skew","equilateral",88.12844781637511,97.4188477674969,86.40684521912159,100.23412897862723
"Which triangle is taller?",92.1348162821474,111.3051107506954,100.38561302060796,82.9395475559432,2,2,4624.50500651223,4615.797763163412,1,0,"equilateral","rightangle","l",1535385172574,1535385173279,705,"4574294","pairequilateralvsrightangle_0",4624.50500651223,4615.797763163412,"equilateral","rightangle",100.38561302060796,92.1348162821474,82.9395475559432,111.3051107506954
