"triangles","roles","presentation_position","stimid","hm_rotations","decoydist","timelimit","area1","area2","area3","NorthSouth1","NorthSouth2","NorthSouth3","EastWest1","EastWest2","EastWest3","orientation1","orientation2","orientation3","templatetype1","templatetype2","templatetype3","presentation1","presentation2","presentation3","ppntID","positionchosen","rolechosen","drawtime","responsetime","presentationsequence"
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":-50,""y3"":-100,""x2"":50},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":94.8683298050514,""height"":47.4341649025257,""templatetype"":""equilateral"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":-47.4341649025257,""y3"":-94.8683298050514,""x2"":47.4341649025257}]","[""targ"",""comp"",""decoy""]","[2,0,1]","attraction0.9shapes010",3,"0.9",2000,2500,2499.999999999999,2250.0000000000014,100,50,94.8683298050514,50,100,47.4341649025257,3,0,3,"equilateral","skew","equilateral",2,0,1,"5489673","1","targ",1538071343263,1538071344884,3
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":2,""x1"":0,""x3"":-100,""y1"":0,""y2"":-50,""y3"":0,""x2"":-50},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":-100,""x2"":50},{""base"":114.01754250991401,""height"":57.008771254956905,""templatetype"":""skew"",""orientation"":2,""x1"":0,""x3"":-114.01754250991401,""y1"":0,""y2"":-57.008771254956905,""y3"":0,""x2"":-28.504385627478502}]","[""targ"",""comp"",""decoy""]","[2,1,0]","winner1.3shapes012",2,"1.3",2000,2500,2500.000000000002,3250.000000000006,50,100,57.008771254956905,100,50,114.01754250991401,2,3,2,"equilateral","rightangle","skew",2,1,0,"5489673","2","targ",1538071344884,1538071346293,4
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":109.54451150103299,""height"":54.7722557505166,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":109.54451150103299,""y1"":0,""y2"":54.7722557505166,""y3"":0,""x2"":27.386127875258246}]","[""targ"",""comp"",""decoy""]","[1,2,0]","winner1.2shapes012",0,"1.2",2000,2500,2500.000000000002,2999.999999999994,50,100,54.7722557505166,100,50,109.54451150103299,0,1,0,"equilateral","rightangle","skew",1,2,0,"5489673","1","decoy",1538071346293,1538071347700,5
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":109.54451150103299,""height"":54.7722557505166,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":109.54451150103299,""y1"":0,""y2"":54.7722557505166,""y3"":0,""x2"":27.386127875258246}]","[""targ"",""comp"",""decoy""]","[1,2,0]","winner1.2shapes001",0,"1.2",2000,2500.000000000002,2500.000000000002,2999.999999999994,50,100,54.7722557505166,100,50,109.54451150103299,0,1,0,"rightangle","rightangle","skew",1,2,0,"5489673","1","decoy",1538071347700,1538071349148,6
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":114.01754250991401,""height"":57.008771254956905,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":114.01754250991401,""y1"":0,""y2"":57.008771254956905,""y3"":0,""x2"":57.008771254957004}]","[""targ"",""comp"",""decoy""]","[1,2,0]","winner1.3shapes100",0,"1.3",2000,2500.000000000002,2500,3250.000000000006,50,100,57.008771254956905,100,50,114.01754250991401,0,1,0,"rightangle","equilateral","equilateral",1,2,0,"5489673","1","decoy",1538071349148,1538071350348,7
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":89.44271909999159,""height"":44.721359549995796,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":89.44271909999159,""y1"":0,""y2"":44.721359549995796,""y3"":0,""x2"":22.360679774997898}]","[""targ"",""comp"",""decoy""]","[1,0,2]","attraction0.8shapes000",0,"0.8",2000,2499.999999999999,2499.999999999999,2000.000000000001,50,100,44.721359549995796,100,50,89.44271909999159,0,1,0,"skew","skew","skew",1,0,2,"5489673","1","targ",1538071350348,1538071351820,8
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":-25,""y3"":-100,""x2"":50},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":90,""height"":55.5555555555556,""templatetype"":""equilateral"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":-45,""y3"":-90,""x2"":55.5555555555556}]","[""targ"",""comp"",""decoy""]","[1,0,2]","compromise-0.1shapes012",3,"-0.1",2000,2499.999999999999,2500.000000000002,2500.000000000002,100,50,90,50,100,55.5555555555556,3,0,3,"skew","rightangle","equilateral",1,0,2,"5489673","1","targ",1538071358826,1538071360432,10
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":2,""x1"":0,""x3"":-100,""y1"":0,""y2"":-50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":-100,""x2"":50},{""base"":104.880884817015,""height"":52.44044240850761,""templatetype"":""equilateral"",""orientation"":2,""x1"":0,""x3"":-104.880884817015,""y1"":0,""y2"":-52.44044240850761,""y3"":0,""x2"":-52.4404424085075}]","[""targ"",""comp"",""decoy""]","[0,2,1]","winner1.1shapes001",2,"1.1",2000,2500.000000000002,2500.000000000002,2749.999999999996,50,100,52.44044240850761,100,50,104.880884817015,2,3,2,"rightangle","rightangle","equilateral",0,2,1,"5489673","1","decoy",1538071360432,1538071361767,11
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":2,""x1"":0,""x3"":-100,""y1"":0,""y2"":-50,""y3"":0,""x2"":-50},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":-100,""x2"":50},{""base"":97.5,""height"":51.2820512820513,""templatetype"":""skew"",""orientation"":2,""x1"":0,""x3"":-97.5,""y1"":0,""y2"":-51.2820512820513,""y3"":0,""x2"":-24.375}]","[""targ"",""comp"",""decoy""]","[2,0,1]","compromise-0.025shapes012",2,"-0.025",2000,2500,2500.000000000002,2500.0000000000014,50,100,51.2820512820513,100,50,97.5,2,3,2,"equilateral","rightangle","skew",2,0,1,"5489673","1","targ",1538071361767,1538071363006,12
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":83.6660026534076,""height"":41.8330013267038,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":83.6660026534076,""y1"":0,""y2"":41.8330013267038,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[2,0,1]","attraction0.7shapes012",0,"0.7",2000,2500,2499.999999999999,1750.0000000000018,50,100,41.8330013267038,100,50,83.6660026534076,0,1,0,"equilateral","skew","rightangle",2,0,1,"5489673","0","decoy",1538071363006,1538071364630,13
