"triangles","roles","presentation_position","stimid","hm_rotations","decoydist","area1","area2","area3","NorthSouth1","NorthSouth2","NorthSouth3","EastWest1","EastWest2","EastWest3","orientation1","orientation2","orientation3","templatetype1","templatetype2","templatetype3","presentation1","presentation2","presentation3","ppntID","positionchosen","rolechosen","drawtime","responsetime","presentationsequence"
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":102.46950765959599,""height"":51.234753829797995,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":102.46950765959599,""y1"":0,""y2"":51.234753829797995,""y3"":0,""x2"":51.234753829797995}]","[""targ"",""comp"",""decoy""]","[1,2,0]","winner1.05shapes001",0,"1.05",2499.999999999999,2499.999999999999,2625.0000000000005,50,100,51.234753829797995,100,50,102.46950765959599,0,1,0,"skew","skew","equilateral",1,2,0,"1042768","1","decoy",1529956950839,1529956956192,1
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":90,""height"":55.5555555555556,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":90,""y1"":0,""y2"":55.5555555555556,""y3"":0,""x2"":22.5}]","[""targ"",""comp"",""decoy""]","[1,0,2]","compromise-0.1shapes100",0,"-0.1",2500.000000000002,2499.999999999999,2500.000000000002,50,100,55.5555555555556,100,50,90,0,1,0,"rightangle","skew","skew",1,0,2,"1042768","2","decoy",1529956956192,1529956957787,2
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":92.19544457292889,""height"":46.097722286464396,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":92.19544457292889,""y1"":0,""y2"":46.097722286464396,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[0,1,2]","attraction0.85shapes001",0,"0.85",2500,2500,2124.999999999998,50,100,46.097722286464396,100,50,92.19544457292889,0,1,0,"equilateral","equilateral","rightangle",0,1,2,"1042768","1","comp",1529956957787,1529956963412,3
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":97.4679434480896,""height"":48.7339717240448,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":97.4679434480896,""y1"":0,""y2"":48.7339717240448,""y3"":0,""x2"":24.3669858620224}]","[""targ"",""comp"",""decoy""]","[2,0,1]","attraction0.95shapes010",0,"0.95",2499.999999999999,2500.000000000002,2374.9999999999977,50,100,48.7339717240448,100,50,97.4679434480896,0,1,0,"skew","rightangle","skew",2,0,1,"1042768","2","comp",1529956963412,1529956966884,4
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":97.5,""height"":51.2820512820513,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":97.5,""y1"":0,""y2"":51.2820512820513,""y3"":0,""x2"":24.375}]","[""targ"",""comp"",""decoy""]","[1,0,2]","compromise-0.025shapes010",0,"-0.025",2499.999999999999,2500.000000000002,2500.0000000000014,50,100,51.2820512820513,100,50,97.5,0,1,0,"skew","rightangle","skew",1,0,2,"1042768","2","decoy",1529956966884,1529956968746,5
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":97.4679434480896,""height"":48.7339717240448,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":97.4679434480896,""y1"":0,""y2"":48.7339717240448,""y3"":0,""x2"":48.7339717240448}]","[""targ"",""comp"",""decoy""]","[1,2,0]","attraction0.95shapes000",0,"0.95",2500,2500,2374.9999999999995,50,100,48.7339717240448,100,50,97.4679434480896,0,1,0,"equilateral","equilateral","equilateral",1,2,0,"1042768","2","targ",1529956968747,1529956969811,6
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":90,""height"":55.5555555555556,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":90,""y1"":0,""y2"":55.5555555555556,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[1,0,2]","compromise-0.1shapes000",0,"-0.1",2500.000000000002,2500.000000000002,2500.000000000001,50,100,55.5555555555556,100,50,90,0,1,0,"rightangle","rightangle","rightangle",1,0,2,"1042768","2","decoy",1529956969811,1529956971628,7
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":107.23805294763599,""height"":53.619026473817996,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":107.23805294763599,""y1"":0,""y2"":53.619026473817996,""y3"":0,""x2"":26.809513236908998}]","[""targ"",""comp"",""decoy""]","[0,2,1]","winner1.15shapes010",0,"1.15",2499.999999999999,2500.000000000002,2874.999999999995,50,100,53.619026473817996,100,50,107.23805294763599,0,1,0,"skew","rightangle","skew",0,2,1,"1042768","1","decoy",1529956971628,1529956975428,8
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":95,""height"":52.631578947368396,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":95,""y1"":0,""y2"":52.631578947368396,""y3"":0,""x2"":23.75}]","[""targ"",""comp"",""decoy""]","[1,2,0]","compromise-0.05shapes012",0,"-0.05",2500,2500.000000000002,2499.9999999999995,50,100,52.631578947368396,100,50,95,0,1,0,"equilateral","rightangle","skew",1,2,0,"1042768","2","targ",1529956975428,1529956977773,9
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":97.5,""height"":51.2820512820513,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":97.5,""y1"":0,""y2"":51.2820512820513,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[0,2,1]","compromise-0.025shapes012",0,"-0.025",2500,2499.999999999999,2500.0000000000014,50,100,51.2820512820513,100,50,97.5,0,1,0,"equilateral","skew","rightangle",0,2,1,"1042768","2","comp",1529956977773,1529956982278,10
