"option1attribute1","option1attribute2","option2attribute1","option2attribute2","option3attribute1","option3attribute2","option1shape","option2shape","option3shape","option1orientation","option2orientation","option3orientation","option1role","option2role","option3role","stimid","decoydist"
1,0.5,0.5,1,0.974679434480896,0.487339717240448,0,0,0,0,1,0,"targ","comp","decoy","attraction0.95shapes000",0.95
1,0.5,0.5,1,0.974679434480896,0.487339717240448,0,0,1,0,1,0,"targ","comp","decoy","attraction0.95shapes001",0.95
1,0.5,0.5,1,0.974679434480896,0.487339717240448,0,1,0,0,1,0,"targ","comp","decoy","attraction0.95shapes010",0.95
1,0.5,0.5,1,0.974679434480896,0.487339717240448,1,0,0,0,1,0,"targ","comp","decoy","attraction0.95shapes100",0.95
1,0.5,0.5,1,0.974679434480896,0.487339717240448,0,1,2,0,1,0,"targ","comp","decoy","attraction0.95shapes012",0.95
1,0.5,0.5,1,0.948683298050514,0.474341649025257,0,0,0,0,1,0,"targ","comp","decoy","attraction0.9shapes000",0.9
1,0.5,0.5,1,0.948683298050514,0.474341649025257,0,0,1,0,1,0,"targ","comp","decoy","attraction0.9shapes001",0.9
1,0.5,0.5,1,0.948683298050514,0.474341649025257,0,1,0,0,1,0,"targ","comp","decoy","attraction0.9shapes010",0.9
1,0.5,0.5,1,0.948683298050514,0.474341649025257,1,0,0,0,1,0,"targ","comp","decoy","attraction0.9shapes100",0.9
1,0.5,0.5,1,0.948683298050514,0.474341649025257,0,1,2,0,1,0,"targ","comp","decoy","attraction0.9shapes012",0.9
1,0.5,0.5,1,0.921954445729289,0.460977222864644,0,0,0,0,1,0,"targ","comp","decoy","attraction0.85shapes000",0.85
1,0.5,0.5,1,0.921954445729289,0.460977222864644,0,0,1,0,1,0,"targ","comp","decoy","attraction0.85shapes001",0.85
1,0.5,0.5,1,0.921954445729289,0.460977222864644,0,1,0,0,1,0,"targ","comp","decoy","attraction0.85shapes010",0.85
1,0.5,0.5,1,0.921954445729289,0.460977222864644,1,0,0,0,1,0,"targ","comp","decoy","attraction0.85shapes100",0.85
1,0.5,0.5,1,0.921954445729289,0.460977222864644,0,1,2,0,1,0,"targ","comp","decoy","attraction0.85shapes012",0.85
1,0.5,0.5,1,0.975,0.512820512820513,0,0,0,0,1,0,"targ","comp","decoy","compromise-0.025shapes000",-0.025
1,0.5,0.5,1,0.975,0.512820512820513,0,0,1,0,1,0,"targ","comp","decoy","compromise-0.025shapes001",-0.025
1,0.5,0.5,1,0.975,0.512820512820513,0,1,0,0,1,0,"targ","comp","decoy","compromise-0.025shapes010",-0.025
