"question","EW1","EW2","NS1","NS2","orientation1","orientation2","area1","area2","presentationposition1","presentationposition2","templatetype1","templatetype2","responsekey","drawtime","responsetime","inspectiontime","ppntid","stimid","areachosen","arearejected","templatechosen","templaterejected","NSchosen","EWchosen","NSrejected","EWrejected"
"Which triangle has the largest area?",118.67872928497651,100.59529673288974,102.8998248909607,102.41688421628474,0,2,6106.010230852906,5151.328429097585,1,0,"equilateral","rightangle","l",1538068856481,1538068858328,1847,"5489673","pairequilateralvsrightangle_13",6106.010230852906,5151.328429097585,"equilateral","rightangle",102.8998248909607,118.67872928497651,102.41688421628474,100.59529673288974
"Which triangle has the largest area?",88.51366497482337,111.84869031188774,101.22118863394476,88.65900959871885,2,2,4479.729189549194,4958.1970539828935,1,0,"skew","rightangle","a",1538068859331,1538068860682,1351,"5489673","pairskewvsrightangle_13",4958.1970539828935,4479.729189549194,"rightangle","skew",88.65900959871885,111.84869031188774,101.22118863394476,88.51366497482337
"Which triangle has the largest area?",114.87666733896036,85.22614957314363,118.3309841737951,110.68831993281466,0,0,6796.734552412424,4716.769655297018,0,1,"skew","equilateral","a",1538068861684,1538068862427,743,"5489673","pairskewvsequilateral_6",6796.734552412424,4716.769655297018,"skew","equilateral",118.3309841737951,114.87666733896036,110.68831993281466,85.22614957314363
"Which triangle has the largest area?",112.986045720851,116.55069754261032,106.63820357864991,109.00169800197182,2,1,6024.314472563378,6352.111967729385,0,1,"rightangle","rightangle","l",1538068863429,1538068864626,1197,"5489673","pairrightanglevsrightangle_7",6352.111967729385,6024.314472563378,"rightangle","rightangle",109.00169800197182,116.55069754261032,106.63820357864991,112.986045720851
"Which triangle has the largest area?",85.0650115649346,100.980941792014,119.21513236634324,93.78630250069384,2,2,5070.518306729097,4735.314576855388,1,0,"rightangle","rightangle","l",1538068865628,1538068866490,862,"5489673","pairrightanglevsrightangle_9",5070.518306729097,4735.314576855388,"rightangle","rightangle",119.21513236634324,85.0650115649346,93.78630250069384,100.980941792014
"Which triangle has the largest area?",83.60046340665058,88.49811090642545,96.93149268824224,91.51205592265023,3,3,4051.7588537177076,4049.322037158852,0,1,"skew","equilateral","l",1538068867492,1538068868939,1447,"5489673","pairskewvsequilateral_0",4049.322037158852,4051.7588537177076,"equilateral","skew",91.51205592265023,88.49811090642545,96.93149268824224,83.60046340665058
"Which triangle has the largest area?",94.09014407220747,119.02275367996768,119.19832974449514,91.94805273144257,3,0,5607.69400941302,5471.955215803584,0,1,"equilateral","equilateral","a",1538068869940,1538068871246,1306,"5489673","pairequilateralvsequilateral_16",5607.69400941302,5471.955215803584,"equilateral","equilateral",119.19832974449514,94.09014407220747,91.94805273144257,119.02275367996768
"Which triangle has the largest area?",103.61937832906476,103.81915724736493,89.36943037225231,114.38340426471458,3,1,4630.20240839771,5937.594316923658,1,0,"rightangle","rightangle","a",1538068872247,1538068873242,995,"5489673","pairrightanglevsrightangle_1",5937.594316923658,4630.20240839771,"rightangle","rightangle",114.38340426471458,103.81915724736493,89.36943037225231,103.61937832906476
"Which triangle has the largest area?",107.82202933998357,87.81658528459442,112.3512123877442,85.90094676524407,1,3,6056.96785922704,3771.763908818728,1,0,"rightangle","rightangle","l",1538068874243,1538068875097,854,"5489673","pairrightanglevsrightangle_2",6056.96785922704,3771.763908818728,"rightangle","rightangle",112.3512123877442,107.82202933998357,85.90094676524407,87.81658528459442
"Which triangle has the largest area?",105.8121296976307,116.44764115418783,93.72378302978981,105.98970845694713,3,3,4958.556542850359,6171.125768215784,1,0,"skew","skew","a",1538068876099,1538068877107,1008,"5489673","pairskewvsskew_2",6171.125768215784,4958.556542850359,"skew","skew",105.98970845694713,116.44764115418783,93.72378302978981,105.8121296976307
"Which triangle has the largest area?",100.42553224920259,96.37408063843284,114.2685848447069,100.71480837009292,3,1,5737.7417261964265,4853.148531671824,0,1,"equilateral","equilateral","a",1538068878109,1538068879342,1233,"5489673","pairequilateralvsequilateral_19",5737.7417261964265,4853.148531671824,"equilateral","equilateral",114.2685848447069,100.42553224920259,100.71480837009292,96.37408063843284
"Which triangle has the largest area?",85.3469259360857,104.00684652250449,84.29793998088897,110.39428584610451,2,0,3597.285020056765,5740.880772478642,0,1,"equilateral","equilateral","l",1538068880343,1538068881026,683,"5489673","pairequilateralvsequilateral_9",5740.880772478642,3597.285020056765,"equilateral","equilateral",110.39428584610451,104.00684652250449,84.29793998088897,85.3469259360857
"Which triangle has the largest area?",99.98780482329859,106.42777336421818,93.2649433092543,104.41767654079833,2,2,4662.678474230865,5556.470407051164,0,1,"equilateral","rightangle","l",1538068882027,1538068882875,848,"5489673","pairequilateralvsrightangle_12",5556.470407051164,4662.678474230865,"rightangle","equilateral",104.41767654079833,106.42777336421818,93.2649433092543,99.98780482329859
"Which triangle has the largest area?",80.07227611476443,97.66025860854583,101.32286389798108,106.31411460956663,3,3,4056.576167388919,5191.331963254427,1,0,"rightangle","rightangle","a",1538068883876,1538068884558,682,"5489673","pairrightanglevsrightangle_11",5191.331963254427,4056.576167388919,"rightangle","rightangle",106.31411460956663,97.66025860854583,101.32286389798108,80.07227611476443
"Which triangle has the largest area?",80.80750400082061,119.05648836386132,109.25401892586322,93.58273501005202,2,0,4414.272285728712,5570.81590089129,1,0,"skew","skew","a",1538068885559,1538068887298,1739,"5489673","pairskewvsskew_1",5570.81590089129,4414.272285728712,"skew","skew",93.58273501005202,119.05648836386132,109.25401892586322,80.80750400082061
"Which triangle has the largest area?",105.76376842854675,114.90981515450282,104.94894058906839,101.83611577575991,0,2,5549.897724641773,5850.984619922559,0,1,"skew","skew","l",1538068888300,1538068888966,666,"5489673","pairskewvsskew_18",5850.984619922559,5549.897724641773,"skew","skew",101.83611577575991,114.90981515450282,104.94894058906839,105.76376842854675
"Which triangle has the largest area?",114.38303757585997,93.63720714467728,103.80172624297788,86.1584200092898,0,0,5936.5783766448385,4033.816910833988,1,0,"rightangle","rightangle","l",1538068889967,1538068890535,568,"5489673","pairrightanglevsrightangle_6",5936.5783766448385,4033.816910833988,"rightangle","rightangle",103.80172624297788,114.38303757585997,86.1584200092898,93.63720714467728
"Which triangle has the largest area?",97.88223980429794,112.46700468182236,82.24914656215311,85.0916609628406,1,2,4025.36534374776,4785.002115945917,1,0,"skew","equilateral","a",1538068891536,1538068892644,1108,"5489673","pairskewvsequilateral_18",4785.002115945917,4025.36534374776,"equilateral","skew",85.0916609628406,112.46700468182236,82.24914656215311,97.88223980429794
"Which triangle has the largest area?",89.0167139429817,94.1071934604281,99.26987671036758,84.17525165164331,0,2,4418.3391091409285,3960.7483458807064,0,1,"skew","rightangle","a",1538068893645,1538068895946,2301,"5489673","pairskewvsrightangle_19",4418.3391091409285,3960.7483458807064,"skew","rightangle",99.26987671036758,89.0167139429817,84.17525165164331,94.1071934604281
"Which triangle has the largest area?",98.13487319053633,98.49831270558296,113.91310146368359,98.89397196271933,2,3,5589.423883439646,4870.444687540539,1,0,"equilateral","rightangle","l",1538068896947,1538068898125,1178,"5489673","pairequilateralvsrightangle_5",5589.423883439646,4870.444687540539,"equilateral","rightangle",113.91310146368359,98.13487319053633,98.89397196271933,98.49831270558296
"Which triangle has the largest area?",104.90212735519795,112.43246205818211,82.84810603462849,86.23452626334922,3,0,4345.471285190771,4847.780051104661,0,1,"skew","skew","l",1538068899126,1538068900451,1325,"5489673","pairskewvsskew_9",4847.780051104661,4345.471285190771,"skew","skew",86.23452626334922,112.43246205818211,82.84810603462849,104.90212735519795
"Which triangle has the largest area?",107.45961236033446,113.39400855156015,93.27548876214398,83.8128544498943,2,3,5011.673932550362,4751.937767110988,1,0,"skew","rightangle","l",1538068901452,1538068903269,1817,"5489673","pairskewvsrightangle_8",5011.673932550362,4751.937767110988,"skew","rightangle",93.27548876214398,107.45961236033446,83.8128544498943,113.39400855156015
"Which triangle has the largest area?",85.59786748150253,117.3484975188123,112.92660218881095,84.32045137391194,1,0,4833.1381646470945,4947.439139418318,1,0,"skew","equilateral","a",1538068904270,1538068906197,1927,"5489673","pairskewvsequilateral_7",4947.439139418318,4833.1381646470945,"equilateral","skew",84.32045137391194,117.3484975188123,112.92660218881095,85.59786748150253
"Which triangle has the largest area?",117.52054690717921,103.9383122940818,91.6168954256003,103.31436526062818,1,0,5383.433828177196,5369.160380462003,1,0,"equilateral","equilateral","l",1538068907198,1538068907978,780,"5489673","pairequilateralvsequilateral_7",5383.433828177196,5369.160380462003,"equilateral","equilateral",91.6168954256003,117.52054690717921,103.31436526062818,103.9383122940818
"Which triangle has the largest area?",99.82298181738024,116.52516935579015,100.61761552075946,95.73338056521308,1,2,5021.975202318462,5577.674191681885,1,0,"skew","skew","l",1538068908981,1538068909877,896,"5489673","pairskewvsskew_8",5021.975202318462,5577.674191681885,"skew","skew",100.61761552075946,99.82298181738024,95.73338056521308,116.52516935579015
"Which triangle has the largest area?",91.35903604291995,100.52478628572818,112.44625740788645,80.77216396540517,0,3,5136.4908417092765,4059.802260229077,1,0,"skew","rightangle","l",1538068910878,1538068912516,1638,"5489673","pairskewvsrightangle_7",5136.4908417092765,4059.802260229077,"skew","rightangle",112.44625740788645,91.35903604291995,80.77216396540517,100.52478628572818
"Which triangle has the largest area?",119.63503155946191,101.91040613643435,103.39531822818695,96.46937806565163,2,3,6184.85107966488,4915.616749199894,1,0,"skew","rightangle","l",1538068913517,1538068914429,912,"5489673","pairskewvsrightangle_0",6184.85107966488,4915.616749199894,"skew","rightangle",103.39531822818695,119.63503155946191,96.46937806565163,101.91040613643435
"Which triangle has the largest area?",96.90435764383857,100.753574597983,108.05103430992955,113.1859574310057,3,2,5235.308036278045,5701.94490273448,0,1,"skew","skew","l",1538068915431,1538068916366,935,"5489673","pairskewvsskew_13",5701.94490273448,5235.308036278045,"skew","skew",113.1859574310057,100.753574597983,108.05103430992955,96.90435764383857
"Which triangle has the largest area?",100.62138173830431,113.92360539767286,103.11539627213257,109.05683202706624,0,3,5187.806825697388,6212.0737488858895,0,1,"skew","equilateral"," ",1538068917367,1538068919030,1663,"5489673","pairskewvsequilateral_2","equal","equal","equal","equal","equal","equal","equal","equal"
"Which triangle has the largest area?",110.47822516672659,105.2641525757811,108.35780613346344,106.68818342289832,2,2,5985.589052292638,5615.220608930445,0,1,"equilateral","equilateral"," ",1538068920031,1538068922272,2241,"5489673","pairequilateralvsequilateral_6","equal","equal","equal","equal","equal","equal","equal","equal"
"Which triangle has the largest area?",103.93755130993468,116.8515879894532,110.8501037269028,91.52214058294953,1,2,5760.74417191327,5347.253731655815,1,0,"skew","rightangle","l",1538068923273,1538068925126,1853,"5489673","pairskewvsrightangle_15",5760.74417191327,5347.253731655815,"skew","rightangle",110.8501037269028,103.93755130993468,91.52214058294953,116.8515879894532
"Which triangle has the largest area?",94.44696058297815,112.35592070948823,116.49936661489555,88.44353604622668,1,0,5501.50554330948,4968.577461638307,0,1,"rightangle","rightangle","a",1538068926127,1538068926948,821,"5489673","pairrightanglevsrightangle_5",5501.50554330948,4968.577461638307,"rightangle","rightangle",116.49936661489555,94.44696058297815,88.44353604622668,112.35592070948823
"Which triangle has the largest area?",80.40165196360465,111.79481607522739,80.80332782297306,102.65594856331384,3,0,3248.360520561865,5738.201444331836,0,1,"skew","rightangle","l",1538068927949,1538068928499,550,"5489673","pairskewvsrightangle_6",5738.201444331836,3248.360520561865,"rightangle","skew",102.65594856331384,111.79481607522739,80.80332782297306,80.40165196360465
"Which triangle has the largest area?",96.07464198972262,100.47428226514768,94.26778951814283,95.2772771909068,2,2,4528.372064559049,4786.458020966943,1,0,"skew","rightangle","a",1538068929502,1538068930126,624,"5489673","pairskewvsrightangle_2",4786.458020966943,4528.372064559049,"rightangle","skew",95.2772771909068,100.47428226514768,94.26778951814283,96.07464198972262
"Which triangle has the largest area?",108.03765731117927,97.96351912418206,99.89726328376182,118.44221981582108,0,1,5396.333148487856,5801.508333018881,1,0,"equilateral","equilateral"," ",1538068931127,1538068932343,1216,"5489673","pairequilateralvsequilateral_2","equal","equal","equal","equal","equal","equal","equal","equal"
"Which triangle has the largest area?",94.23288132532824,108.3913984638434,113.3057644407094,104.45302524225018,3,3,5338.564327008486,5660.904739893315,0,1,"skew","equilateral","l",1538068933345,1538068934317,972,"5489673","pairskewvsequilateral_3",5660.904739893315,5338.564327008486,"equilateral","skew",104.45302524225018,108.3913984638434,113.3057644407094,94.23288132532824
"Which triangle has the largest area?",103.73864311054248,87.14579851441468,114.66257204568623,112.09567656686579,3,0,5947.469819792158,4884.333622216541,1,0,"skew","skew","l",1538068935318,1538068936106,788,"5489673","pairskewvsskew_14",5947.469819792158,4884.333622216541,"skew","skew",114.66257204568623,103.73864311054248,112.09567656686579,87.14579851441468
"Which triangle has the largest area?",113.27361728397187,82.53119553544377,113.91336717041484,87.60770293817504,0,3,6451.68957819507,3615.1842308007967,0,1,"skew","skew","a",1538068937108,1538068937719,611,"5489673","pairskewvsskew_11",6451.68957819507,3615.1842308007967,"skew","skew",113.91336717041484,113.27361728397187,87.60770293817504,82.53119553544377
"Which triangle has the largest area?",94.67695831836606,110.18278443246423,111.94334516168236,109.9550404632624,2,1,5299.227711945533,6057.576260313266,0,1,"rightangle","rightangle","l",1538068938721,1538068939470,749,"5489673","pairrightanglevsrightangle_10",6057.576260313266,5299.227711945533,"rightangle","rightangle",109.9550404632624,110.18278443246423,111.94334516168236,94.67695831836606
"Which triangle has the largest area?",106.30457409021501,98.75395820496624,110.30324198091913,86.53912926873446,1,1,5862.8695797757655,4273.040777449384,0,1,"skew","equilateral","a",1538068940471,1538068941191,720,"5489673","pairskewvsequilateral_12",5862.8695797757655,4273.040777449384,"skew","equilateral",110.30324198091913,106.30457409021501,86.53912926873446,98.75395820496624
"Which triangle has the largest area?",94.80220019909689,106.63406819334736,107.39345575207486,84.18052840752375,1,1,5090.567946140527,4488.256103379949,0,1,"skew","skew","a",1538068942192,1538068943054,862,"5489673","pairskewvsskew_0",5090.567946140527,4488.256103379949,"skew","skew",107.39345575207486,94.80220019909689,84.18052840752375,106.63406819334736
"Which triangle has the largest area?",103.75441330437529,99.94833298587936,89.16307274696779,118.89666130605873,3,3,4625.531150638489,5941.761547563638,1,0,"skew","rightangle","a",1538068944055,1538068944654,599,"5489673","pairskewvsrightangle_12",5941.761547563638,4625.531150638489,"rightangle","skew",118.89666130605873,99.94833298587936,89.16307274696779,103.75441330437529
"Which triangle has the largest area?",82.48568279096305,85.85269197306059,102.23027232496777,106.02888614659614,2,2,4216.266907315529,4551.432651295214,0,1,"equilateral","equilateral","l",1538068945656,1538068946374,718,"5489673","pairequilateralvsequilateral_10",4551.432651295214,4216.266907315529,"equilateral","equilateral",106.02888614659614,85.85269197306059,102.23027232496777,82.48568279096305
"Which triangle has the largest area?",95.82277619950231,81.66447144892564,97.2715290987439,98.89345886837584,3,3,4660.413981706154,4038.0410241209893,0,1,"rightangle","rightangle","a",1538068947375,1538068948480,1105,"5489673","pairrightanglevsrightangle_15",4660.413981706154,4038.0410241209893,"rightangle","rightangle",97.2715290987439,95.82277619950231,98.89345886837584,81.66447144892564
"Which triangle has the largest area?",94.64686965988459,92.39832551455775,83.12879530165009,80.07226602008215,1,3,3933.940126949249,3699.2716502059066,1,0,"equilateral","rightangle"," ",1538068949481,1538068950924,1443,"5489673","pairequilateralvsrightangle_15","equal","equal","equal","equal","equal","equal","equal","equal"
"Which triangle has the largest area?",106.20199726794574,100.12941729467053,98.50105809899622,89.47087074554429,2,3,5230.50455155968,4479.333076299067,1,0,"equilateral","rightangle","l",1538068951925,1538068953075,1150,"5489673","pairequilateralvsrightangle_9",5230.50455155968,4479.333076299067,"equilateral","rightangle",98.50105809899622,106.20199726794574,89.47087074554429,100.12941729467053
"Which triangle has the largest area?",108.42877685057859,106.13285628349205,119.42068858702837,92.2425859701346,3,2,6474.319597072664,4894.984559992976,0,1,"skew","equilateral","a",1538068954075,1538068954906,831,"5489673","pairskewvsequilateral_1",6474.319597072664,4894.984559992976,"skew","equilateral",119.42068858702837,108.42877685057859,92.2425859701346,106.13285628349205
"Which triangle has the largest area?",107.88909046700451,110.3241609323177,111.74595413499931,92.15812431929835,1,3,6028.084677496336,5083.633869311408,1,0,"skew","skew","l",1538068955907,1538068956561,654,"5489673","pairskewvsskew_6",6028.084677496336,5083.633869311408,"skew","skew",111.74595413499931,107.88909046700451,92.15812431929835,110.3241609323177
"Which triangle has the largest area?",111.72199240179754,112.40002453730509,116.20545283637658,108.73023378741897,3,3,6491.352359416557,6110.640472826405,0,1,"rightangle","rightangle","l",1538068957562,1538068958411,849,"5489673","pairrightanglevsrightangle_0",6110.640472826405,6491.352359416557,"rightangle","rightangle",108.73023378741897,112.40002453730509,116.20545283637658,111.72199240179754
"Which triangle has the largest area?",83.42098116008665,81.7115358158683,105.10153425168221,109.21949408673899,2,3,4383.836554352894,4462.246301429797,1,0,"equilateral","equilateral"," ",1538068959411,1538068961912,2501,"5489673","pairequilateralvsequilateral_8","equal","equal","equal","equal","equal","equal","equal","equal"
"Which triangle has the largest area?",107.16476499996277,113.76928245992453,86.4178257793467,108.7246296086496,3,0,4630.472995725706,6184.761548148563,0,1,"skew","skew","l",1538068962914,1538068963556,642,"5489673","pairskewvsskew_16",6184.761548148563,4630.472995725706,"skew","skew",108.7246296086496,113.76928245992453,86.4178257793467,107.16476499996277
"Which triangle has the largest area?",89.4511043543828,102.88904428577736,86.28932110635972,102.30471667806533,3,0,3859.3375334769144,5263.017262466685,1,0,"rightangle","rightangle","a",1538068964557,1538068965512,955,"5489673","pairrightanglevsrightangle_13",5263.017262466685,3859.3375334769144,"rightangle","rightangle",102.30471667806533,102.88904428577736,86.28932110635972,89.4511043543828
"Which triangle has the largest area?",114.16004406022094,82.03015112825798,116.47284146972619,97.10332144600812,2,3,6648.27235700154,3982.7000666359295,1,0,"rightangle","rightangle","l",1538068966513,1538068967109,596,"5489673","pairrightanglevsrightangle_12",6648.27235700154,3982.7000666359295,"rightangle","rightangle",116.47284146972619,114.16004406022094,97.10332144600812,82.03015112825798
"Which triangle has the largest area?",89.61935472408648,113.53275695091676,118.55793710767256,88.9937704792756,2,2,5312.54291050422,5051.8540569846355,0,1,"equilateral","equilateral","a",1538068968110,1538068968923,813,"5489673","pairequilateralvsequilateral_4",5312.54291050422,5051.8540569846355,"equilateral","equilateral",118.55793710767256,89.61935472408648,88.9937704792756,113.53275695091676
"Which triangle has the largest area?",114.83476437208706,109.34930809412778,109.22900162955278,98.73950196147446,0,1,6271.643332364004,5398.548110523002,1,0,"skew","skew","l",1538068969925,1538068971301,1376,"5489673","pairskewvsskew_5",6271.643332364004,5398.548110523002,"skew","skew",109.22900162955278,114.83476437208706,98.73950196147446,109.34930809412778
"Which triangle has the largest area?",94.16513255923249,87.04183757414418,101.02886145511046,93.58030163799945,2,1,4756.698065614402,4072.7007076570844,1,0,"skew","equilateral","l",1538068972302,1538068973514,1212,"5489673","pairskewvsequilateral_10",4756.698065614402,4072.7007076570844,"skew","equilateral",101.02886145511046,94.16513255923249,93.58030163799945,87.04183757414418
"Which triangle has the largest area?",82.19071611428762,92.25142566026759,86.33107370280149,86.54892410730658,0,1,3547.8063852742994,3992.130819130667,0,1,"equilateral","rightangle","l",1538068974515,1538068975209,694,"5489673","pairequilateralvsrightangle_10",3992.130819130667,3547.8063852742994,"rightangle","equilateral",86.54892410730658,92.25142566026759,86.33107370280149,82.19071611428762
"Which triangle has the largest area?",113.01248291342696,84.48067198724631,113.18710694096123,112.1752048387133,2,2,6395.777994592807,4738.318342540753,0,1,"skew","equilateral","a",1538068976210,1538068976802,592,"5489673","pairskewvsequilateral_16",6395.777994592807,4738.318342540753,"skew","equilateral",113.18710694096123,113.01248291342696,112.1752048387133,84.48067198724631
"Which triangle has the largest area?",113.94656090712787,87.51970889370457,101.01909030094711,111.71132312930969,3,1,5755.38896287976,4888.471240203875,1,0,"skew","skew","l",1538068977803,1538068978441,638,"5489673","pairskewvsskew_12",5755.38896287976,4888.471240203875,"skew","skew",101.01909030094711,113.94656090712787,111.71132312930969,87.51970889370457
"Which triangle has the largest area?",110.4481660442215,107.67497375160116,107.7453025573093,108.14772471599208,0,2,5950.135533667287,5822.40171004492,1,0,"skew","equilateral","l",1538068979443,1538068982652,3209,"5489673","pairskewvsequilateral_19",5950.135533667287,5822.40171004492,"skew","equilateral",107.7453025573093,110.4481660442215,108.14772471599208,107.67497375160116
"Which triangle has the largest area?",88.49088528964789,105.73388338995898,83.31324740826075,90.9467024723436,3,2,3686.231509756228,4808.074016956038,0,1,"skew","rightangle","l",1538068983653,1538068984321,668,"5489673","pairskewvsrightangle_3",4808.074016956038,3686.231509756228,"rightangle","skew",90.9467024723436,105.73388338995898,83.31324740826075,88.49088528964789
"Which triangle has the largest area?",80.9961897973003,94.30330515644891,93.42689962780237,89.54794612525635,2,3,3783.611447213405,4222.333644791648,0,1,"rightangle","rightangle","l",1538068985322,1538068986752,1430,"5489673","pairrightanglevsrightangle_8",4222.333644791648,3783.611447213405,"rightangle","rightangle",89.54794612525635,94.30330515644891,93.42689962780237,80.9961897973003
"Which triangle has the largest area?",92.07590661720066,90.68043781627593,105.25486125078504,80.32249719583335,1,2,4845.718387766848,3641.839606107381,0,1,"equilateral","equilateral","a",1538068987754,1538068988617,863,"5489673","pairequilateralvsequilateral_11",4845.718387766848,3641.839606107381,"equilateral","equilateral",105.25486125078504,92.07590661720066,80.32249719583335,90.68043781627593
"Which triangle has the largest area?",97.32911137074385,82.86416373543184,103.33954847560713,101.4532081835865,1,0,5028.973211292376,4203.417627204786,1,0,"skew","skew","l",1538068989619,1538068990331,713,"5489673","pairskewvsskew_7",5028.973211292376,4203.417627204786,"skew","skew",103.33954847560713,97.32911137074385,101.4532081835865,82.86416373543184
"Which triangle has the largest area?",101.29616500978433,84.08380891475471,112.74870325594328,102.73618575693482,0,0,5710.505624826619,4319.224905908423,1,0,"rightangle","rightangle","l",1538068991334,1538068991904,570,"5489673","pairrightanglevsrightangle_14",5710.505624826619,4319.224905908423,"rightangle","rightangle",112.74870325594328,101.29616500978433,102.73618575693482,84.08380891475471
